CREATE DATABASE flights;


USE flights;


CREATE TABLE IF NOT EXISTS airplanes (
         type VARCHAR(50) PRIMARY KEY,
         airspeed_kts FLOAT,
         fuel_rate_kg_h FLOAT,
         fuel_capacity_kg FLOAT,
         passengers INT
     );


INSERT INTO airplanes (type, airspeed_kts, fuel_rate_kg_h, fuel_capacity_kg, passengers) VALUES
('Boeing 737-001', 450, 2500, 20000, 180),
('Airbus A320-001', 460, 2400, 19000, 150),
('Boeing 787-001', 500, 5000, 40000, 250),
('Cessna 172-001', 140, 150, 500, 4),
('Embraer E175-001', 430, 2200, 18000, 88),
('Boeing 737-002', 455, 2550, 20500, 185),
('Airbus A320-002', 465, 2450, 19500, 155),
('Boeing 787-002', 505, 5100, 41000, 260),
('Cessna 172-002', 145, 160, 550, 4),
('Embraer E175-002', 435, 2250, 18500, 90),
('Boeing 737-003', 460, 2600, 21000, 190),
('Airbus A320-003', 470, 2500, 20000, 160),
('Boeing 787-003', 510, 5200, 42000, 270),
('Cessna 172-003', 150, 170, 600, 4),
('Embraer E175-003', 440, 2300, 19000, 92),
('Boeing 737-004', 465, 2650, 21500, 195),
('Airbus A320-004', 475, 2550, 20500, 165),
('Boeing 787-004', 515, 5300, 43000, 280),
('Cessna 172-004', 155, 180, 650, 4),
('Embraer E175-004', 445, 2350, 19500, 94),
('Boeing 737-005', 470, 2700, 22000, 200),
('Airbus A320-005', 480, 2600, 21000, 170),
('Boeing 787-005', 520, 5400, 44000, 290),
('Cessna 172-005', 160, 190, 700, 4),
('Embraer E175-005', 450, 2400, 20000, 96),
('Boeing 737-006', 475, 2750, 22500, 205),
('Airbus A320-006', 485, 2650, 21500, 175),
('Boeing 787-006', 525, 5500, 45000, 300),
('Cessna 172-006', 165, 200, 750, 4),
('Embraer E175-006', 455, 2450, 20500, 98),
('Boeing 737-007', 480, 2800, 23000, 210),
('Airbus A320-007', 490, 2700, 22000, 180),
('Boeing 787-007', 530, 5600, 46000, 310),
('Cessna 172-007', 170, 210, 800, 4),
('Embraer E175-007', 460, 2500, 21000, 100),
('Boeing 737-008', 485, 2850, 23500, 215),
('Airbus A320-008', 495, 2750, 22500, 185),
('Boeing 787-008', 535, 5700, 47000, 320),
('Cessna 172-008', 175, 220, 850, 4),
('Embraer E175-008', 465, 2550, 21500, 102),
('Boeing 737-009', 490, 2900, 24000, 220),
('Airbus A320-009', 500, 2800, 23000, 190),
('Boeing 787-009', 540, 5800, 48000, 330),
('Cessna 172-009', 180, 230, 900, 4),
('Embraer E175-009', 470, 2600, 22000, 104),
('Boeing 737-010', 495, 2950, 24500, 225),
('Airbus A320-010', 505, 2850, 23500, 195),
('Boeing 787-010', 545, 5900, 49000, 340),
('Cessna 172-010', 185, 240, 950, 4),
('Embraer E175-010', 475, 2650, 22500, 106),
('Boeing 737-011', 500, 3000, 25000, 230),
('Airbus A320-011', 510, 2900, 24000, 200),
('Boeing 787-011', 550, 6000, 50000, 350),
('Cessna 172-011', 190, 250, 1000, 4),
('Embraer E175-011', 480, 2700, 23000, 108),
('Boeing 737-012', 505, 3050, 25500, 235),
('Airbus A320-012', 515, 2950, 24500, 205),
('Boeing 787-012', 555, 6100, 51000, 360),
('Cessna 172-012', 195, 260, 1050, 4),
('Embraer E175-012', 485, 2750, 23500, 110),
('Boeing 737-013', 510, 3100, 26000, 240),
('Airbus A320-013', 520, 3000, 25000, 210),
('Boeing 787-013', 560, 6200, 52000, 370),
('Cessna 172-013', 200, 270, 1100, 4),
('Embraer E175-013', 490, 2800, 24000, 112),
('Boeing 737-014', 515, 3150, 26500, 245),
('Airbus A320-014', 525, 3050, 25500, 215),
('Boeing 787-014', 565, 6300, 53000, 380),
('Cessna 172-014', 205, 280, 1150, 4),
('Embraer E175-014', 495, 2850, 24500, 114),
('Boeing 737-015', 520, 3200, 27000, 250),
('Airbus A320-015', 530, 3100, 26000, 220),
('Boeing 787-015', 570, 6400, 54000, 390),
('Cessna 172-015', 210, 290, 1200, 4),
('Embraer E175-015', 500, 2900, 25000, 116),
('Boeing 737-016', 525, 3250, 27500, 255),
('Airbus A320-016', 535, 3150, 26500, 225),
('Boeing 787-016', 575, 6500, 55000, 400),
('Cessna 172-016', 215, 300, 1250, 4),
('Embraer E175-016', 505, 2950, 25500, 118),
('Boeing 737-017', 530, 3300, 28000, 260),
('Airbus A320-017', 540, 3200, 27000, 230),
('Boeing 787-017', 580, 6600, 56000, 410),
('Cessna 172-017', 220, 310, 1300, 4),
('Embraer E175-017', 510, 3000, 26000, 120),
('Boeing 737-018', 535, 3350, 28500, 265),
('Airbus A320-018', 545, 3250, 27500, 235),
('Boeing 787-018', 585, 6700, 57000, 420),
('Cessna 172-018', 225, 320, 1350, 4),
('Embraer E175-018', 515, 3050, 26500, 122),
('Boeing 737-019', 540, 3400, 29000, 270),
('Airbus A320-019', 550, 3300, 28000, 240),
('Boeing 787-019', 590, 6800, 58000, 430),
('Cessna 172-019', 230, 330, 1400, 4),
('Embraer E175-019', 520, 3100, 27000, 124),
('Boeing 737-020', 545, 3450, 29500, 275),
('Airbus A320-020', 555, 3350, 28500, 245),
('Boeing 787-020', 595, 6900, 59000, 440),
('Cessna 172-020', 235, 340, 1450, 4),
('Embraer E175-020', 525, 3150, 27500, 126);
